"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 12:48:09 GMT 2023","Thu Feb 09 12:48:13 GMT 2023","4228","UI Suite","UI","pl.tomaszbuga.ui.HomePageTest","pl.tomaszbuga.ui.HomePageTest","loginWithCredentialsTest","loginWithCredentialsTest","Verify that user can login with username and password"
"passed","Thu Feb 09 12:48:14 GMT 2023","Thu Feb 09 12:48:17 GMT 2023","2173","UI Suite","UI","pl.tomaszbuga.ui.HomePageTest","pl.tomaszbuga.ui.HomePageTest","loginWithGoogleTest","loginWithGoogleTest","Verify that user can login via Google"
